Year,category_type,satisfaction_index,City
2008,Overall quality of Health Department services,0.0,Kansas City
2008,Overall quality of airport facilities,73.0,Kansas City
2008,Overall quality of the city's 311 service,0.0,Kansas City
2008,The city's municipal court,36.0,Kansas City
2008,Overall quality of customer service you receive from city employees,48.0,Kansas City
2008,Overall effectiveness of city communication with the public,37.0,Kansas City
2008,Overall quality of the city's stormwater runoff/stormwater management system,32.0,Kansas City
2008,Overall quality of public transportation,0.0,Kansas City
2008,Effectiveness of local police protection,0.0,Kansas City
2008,The visibility of police in neighborhoods,44.0,Kansas City
2008,The city's overall efforts to prevent crime,39.0,Kansas City
2008,Enforcement of local traffic laws,50.0,Kansas City
2008,Parking enforcement services,0.0,Kansas City
2008,How quickly police respond to emergencies,0.0,Kansas City
2008,Overall quality of local fire protection and rescue services,77.0,Kansas City
2008,How quickly fire and rescue personnel respond to emergencies,0.0,Kansas City
2008,Quality of local emergency medical service,68.0,Kansas City
2008,How quickly emergency medical personnel respond to emergencies,0.0,Kansas City
2008,Maintenance of city streets,18.0,Kansas City
2008,Maintenance of streets in your neighborhood,34.0,Kansas City
2008,Condition of sidewalks in the city,19.0,Kansas City
2008,Condition of sidewalks in your neighborhood,0.0,Kansas City
2008,Maintenance of street signs and traffic signals,0.0,Kansas City
2008,Snow removal on major city streets during the past 12 months,55.0,Kansas City
2008,Snow removal on residential streets during the past 12 months,35.0,Kansas City
2008,Adequacy of city street lighting,63.0,Kansas City
2008,"Accessibility of city streets, sidewalks, buildings for people with disabilities",0.0,Kansas City
2008,How would you rate On-street bicycle infrastructure (bike lanes/signs/sharrows),0.0,Kansas City
2008,Enforcing the clean up of litter and debris on private property,21.0,Kansas City
2008,Enforcing the mowing and cutting of weeds on private property,18.0,Kansas City
2008,Enforcing the exterior maintenance of residential property,21.0,Kansas City
2008,"Enforcing the clean-up of litter, mowing of weeds and exterior maintenance of residential property in YOUR neighborhood",0.0,Kansas City
2008,Boarding of Vacant Structures,0.0,Kansas City
2008,Demolition of Vacant Structures,0.0,Kansas City
2008,Enforcing the removal of signs in the right of way,0.0,Kansas City
2008,Timeliness of the removal of abandoned cars from public property,34.0,Kansas City
2008,Enforcing the property maintenance of vacant structures,0.0,Kansas City
2008,Quality of animal control,36.0,Kansas City
2008,Enforcement of Animal Code,0.0,Kansas City
2008,Customer Service Provided by Animal Control Officer,0.0,Kansas City
2008,Animal Shelter Operations,0.0,Kansas City
2008,"Protecting the public from new or unusual health threats such as anthrax, the H1N1 influenza (“flu”) virus, and any new outbreak.",0.0,Kansas City
2008,Guarding against food poisoning through restaurant inspections,0.0,Kansas City
2008,"Protecting the public from exposure to environmental risks such as air pollution, lead poisoning, and swimming pool contamination.",0.0,Kansas City
2008,"Encouraging access to healthy fruits and vegetables, safe places to exercise, and non-smoking environments",0.0,Kansas City
2008,Encouraging access to healthy fruits and vegetables and safe places to exercise,0.0,Kansas City
2008,"Communicating information regarding public health concerns such as excessive heat, second hand smoke, violence prevention, and maternal and child health",0.0,Kansas City
2008,"Preventing the spread of infectious diseases through childhood vaccination programs, STD/HIV treatment and prevention services, and tuberculosis (TB) and hepatitis control.",0.0,Kansas City
2008,"Providing Services for Families and Children such as Childhood Vaccinations, Lead Screening, and Healthy Home Inspections",0.0,Kansas City
2008,Ease of utilizing 311 services via phone,0.0,Kansas City
2008,Ease of utilizing 311 services via web,0.0,Kansas City
2008,Courtesy and professionalism of 311 calltakers,0.0,Kansas City
2008,How well your question or issue was resolved via 311,0.0,Kansas City
2008,The availability of information about city programs and services,37.0,Kansas City
2008,Overall usefulness of the city's website,0.0,Kansas City
2008,The level of public involvement in local decision making,23.0,Kansas City
2008,Opportunity to Engage/Provide input into Decisions Made by The City,0.0,Kansas City
2008,"The quality of Kansas City, Missouri's government cable television channel (Channel 2)",0.0,Kansas City
2008,The quality of city video programming including city television channel (Channel 2) and web streaming,0.0,Kansas City
2008,The content in the City's magazine KCMore,0.0,Kansas City
2008,The City's Use of Social Media,0.0,Kansas City
2008,Watched Channel 2 in the last year,0.0,Kansas City
2008,Maintenance of city parks,49.0,Kansas City
2008,Quality of facilities such as picnic shelters and playgrounds in city parks,0.0,Kansas City
2008,"Quality of outdoor athletic fields (i.e. baseball, soccer, and football)",44.0,Kansas City
2008,Maintenance of boulevards and parkways,49.0,Kansas City
2008,Walking and biking trails in the city,36.0,Kansas City
2008,City swimming pools and programs,33.0,Kansas City
2008,The city's youth programs and actvities,35.0,Kansas City
2008,"Maintenance of Kansas City, Missouri, community centers",40.0,Kansas City
2008,"Programs and activities at Kansas City, Missouri, community centers",0.0,Kansas City
2008,Ease of registering for [Parks and Recreation] programs,33.0,Kansas City
2008,The reasonableness of fees charged for recreation programs,34.0,Kansas City
2008,Tree trimming and other tree case along city streets and other public areas,34.0,Kansas City
2008,Quality of communication from Parks and Rec,0.0,Kansas City
2008,Quality of customer service from Parks employees,0.0,Kansas City
2008,Overall quality of trash collection services,59.0,Kansas City
2008,Overall quality of recycling collection services,0.0,Kansas City
2008,Overall Quality of Recycling Drop Off Centers,0.0,Kansas City
2008,Overall quality of bulky item pick-up services,0.0,Kansas City
2008,Overal quality of leaf and brush pick-up services,0.0,Kansas City
2008,Overall Quality of Leaf and Brush Pick-up Services,0.0,Kansas City
2008,Overall cleanliness of city streets and other public areas,33.0,Kansas City
2008,City efforts to clean up illegal dumping sites,0.0,Kansas City
2008,Ease of moving through airport security,0.0,Kansas City
2008,Availability of parking [at airport],0.0,Kansas City
2008,Price of parking [at airport],0.0,Kansas City
2008,Helpfulness of signs and other directions,0.0,Kansas City
2008,"Food, beverage, and other concessions",0.0,Kansas City
2008,Cleanliness of facilities,0.0,Kansas City
2008,Condition of catch basins (storm drains) in your neighborhood,0.0,Kansas City
2008,Timeliness of water/sewer line break repairs,0.0,Kansas City
2008,Quality of Water Services customer service,0.0,Kansas City
2008,Overall quality of leadership provided by the city's elected officials,24.0,Kansas City
2008,Overall effectiveness of the city manager and appointed staff,27.0,Kansas City
2008,How ethically the city conducts business,25.0,Kansas City
2008,"Were you or anyone in your household the victim of any crime in Kansas City, Missouri, during the last year?",15.0,Kansas City
2008,Have You had Contact with a KCPD Police Officer,0.0,Kansas City
2008,"Have any members of your household used the Kansas City, Missouri, ambulance service in the last year?",13.0,Kansas City
2008,Have you or anyone in your household contacted 311 in the last year?,33.0,Kansas City
2008,Have you visited the city's website in the last year?,0.0,Kansas City
2008,Have you used the bulky item pick-up service in the last year?,0.0,Kansas City
2008,"Have you visited a Kansas City, Missouri, community center in the last year?",53.0,Kansas City
2008,"Have any members of your household visited any parks in Kansas City, Missouri, in the last year?",0.0,Kansas City
2008,Have you used public transportation in the last year?,0.0,Kansas City
2008,"Have any members of your household attended or watched any Kansas City, Missouri, public meeting in the last year?",0.0,Kansas City
2008,Do you have regular access to the internet at home or work?,0.0,Kansas City
2008,Do You Have Internet Access at Home,0.0,Kansas City
2008,Have you been to municipal court in the last year?,15.0,Kansas City
2008,Have you visited the Kansas City International Airport in the last year?,0.0,Kansas City
2008,Have you contacted Water Services regarding your account in the last year?,0.0,Kansas City
2008,"Did you vote in any Kansas City, Missouri, municipal election during the last two years?",0.0,Kansas City
2008,Own a cat or dog,0.0,Kansas City
2008,Weekly use of the city's curbside recycling services,0.0,Kansas City
2008,"Do you think you will be living in Kansas City, Missouri, five years from now?",0.0,Kansas City
2008,Own your current residence,83.0,Kansas City
2008,"Median number of years living in Kansas City, MO",33.0,Kansas City
2008,Preventing the spread of infectious diseases through STD/HIV treatment and prevention services and TB and hepatitis control,0.0,Kansas City
2008,Have you used the KCATA bus system in the last year?,0.0,Kansas City
2008,Have you used the Kansas City Streetcar in the last year?,0.0,Kansas City
2010,"How would you rate Kansas City, Missouri, as a place to live (Good/Excellent)",65.0,Kansas City
2010,"How would you rate Kansas City, Missouri, as a place to raise children (Good/Excellent)",49.0,Kansas City
2010,"How would you rate Kansas City, Missouri, as a place to work (Good/Excellent)",59.0,Kansas City
2010,"Overall quality of services provided by the City of Kansas City, Missouri",43.0,Kansas City
2010,Overall value that you receive for your city tax dollars and fees,27.0,Kansas City
2010,Overall image of the city,36.0,Kansas City
2010,Overall quality of life in the city,50.0,Kansas City
2010,Overall feeling of safety in the city,35.0,Kansas City
2010,How safe you feel in your neighborhood,0.0,Kansas City
2010,Overall quality of education system within the City,0.0,Kansas City
2010,Physical Appearance of Your Neighborhood,0.0,Kansas City
2010,Overall quality of police services,58.0,Kansas City
2010,Overall quality of fire and ambulance services,0.0,Kansas City
2010,"Overall maintenance of city streets, sidewalks, and infrastructure",0.0,Kansas City
2010,Overall quality of solid waste services (e.g. residential trash and recycling collection),0.0,Kansas City
2010,Overall quality of city water utilities,58.0,Kansas City
2010,"Overall quality of neighborhood services (e.g. code enforcement, property preservation, animal control)",0.0,Kansas City
2010,Overall quality of city parks and recreation programs and facilities,56.0,Kansas City
2010,Overall quality of Health Department services,0.0,Kansas City
2010,Overall quality of airport facilities,0.0,Kansas City
2010,Overall quality of the city's 311 service,49.0,Kansas City
2010,The city's municipal court,0.0,Kansas City
2010,Overall quality of customer service you receive from city employees,48.0,Kansas City
2010,Overall effectiveness of city communication with the public,33.0,Kansas City
2010,Overall quality of the city's stormwater runoff/stormwater management system,36.0,Kansas City
2010,Overall quality of public transportation,37.0,Kansas City
2010,Effectiveness of local police protection,0.0,Kansas City
2010,The visibility of police in neighborhoods,48.0,Kansas City
2010,The city's overall efforts to prevent crime,39.0,Kansas City
2010,Enforcement of local traffic laws,52.0,Kansas City
2010,Parking enforcement services,0.0,Kansas City
2010,How quickly police respond to emergencies,0.0,Kansas City
2010,Overall quality of local fire protection and rescue services,81.0,Kansas City
2010,How quickly fire and rescue personnel respond to emergencies,0.0,Kansas City
2010,Quality of local emergency medical service,74.0,Kansas City
2010,How quickly emergency medical personnel respond to emergencies,0.0,Kansas City
2010,Maintenance of city streets,23.0,Kansas City
2010,Maintenance of streets in your neighborhood,35.0,Kansas City
2010,Condition of sidewalks in the city,22.0,Kansas City
2010,Condition of sidewalks in your neighborhood,0.0,Kansas City
2010,Maintenance of street signs and traffic signals,0.0,Kansas City
2010,Snow removal on major city streets during the past 12 months,54.0,Kansas City
2010,Snow removal on residential streets during the past 12 months,33.0,Kansas City
2010,Adequacy of city street lighting,57.0,Kansas City
2010,"Accessibility of city streets, sidewalks, buildings for people with disabilities",0.0,Kansas City
2010,How would you rate On-street bicycle infrastructure (bike lanes/signs/sharrows),0.0,Kansas City
2010,Enforcing the clean up of litter and debris on private property,21.0,Kansas City
2010,Enforcing the mowing and cutting of weeds on private property,20.0,Kansas City
2010,Enforcing the exterior maintenance of residential property,23.0,Kansas City
2010,"Enforcing the clean-up of litter, mowing of weeds and exterior maintenance of residential property in YOUR neighborhood",0.0,Kansas City
2010,Boarding of Vacant Structures,0.0,Kansas City
2010,Demolition of Vacant Structures,0.0,Kansas City
2010,Enforcing the removal of signs in the right of way,0.0,Kansas City
2010,Timeliness of the removal of abandoned cars from public property,0.0,Kansas City
2010,Enforcing the property maintenance of vacant structures,0.0,Kansas City
2010,Quality of animal control,42.0,Kansas City
2010,Enforcement of Animal Code,0.0,Kansas City
2010,Customer Service Provided by Animal Control Officer,0.0,Kansas City
2010,Animal Shelter Operations,0.0,Kansas City
2010,"Protecting the public from new or unusual health threats such as anthrax, the H1N1 influenza (“flu”) virus, and any new outbreak.",0.0,Kansas City
2010,Guarding against food poisoning through restaurant inspections,0.0,Kansas City
2010,"Protecting the public from exposure to environmental risks such as air pollution, lead poisoning, and swimming pool contamination.",0.0,Kansas City
2010,"Encouraging access to healthy fruits and vegetables, safe places to exercise, and non-smoking environments",0.0,Kansas City
2010,Encouraging access to healthy fruits and vegetables and safe places to exercise,0.0,Kansas City
2010,"Communicating information regarding public health concerns such as excessive heat, second hand smoke, violence prevention, and maternal and child health",0.0,Kansas City
2010,"Preventing the spread of infectious diseases through childhood vaccination programs, STD/HIV treatment and prevention services, and tuberculosis (TB) and hepatitis control.",0.0,Kansas City
2010,"Providing Services for Families and Children such as Childhood Vaccinations, Lead Screening, and Healthy Home Inspections",0.0,Kansas City
2010,Ease of utilizing 311 services via phone,0.0,Kansas City
2010,Ease of utilizing 311 services via web,0.0,Kansas City
2010,Courtesy and professionalism of 311 calltakers,0.0,Kansas City
2010,How well your question or issue was resolved via 311,0.0,Kansas City
2010,The availability of information about city programs and services,35.0,Kansas City
2010,Overall usefulness of the city's website,0.0,Kansas City
2010,The level of public involvement in local decision making,21.0,Kansas City
2010,Opportunity to Engage/Provide input into Decisions Made by The City,0.0,Kansas City
2010,"The quality of Kansas City, Missouri's government cable television channel (Channel 2)",0.0,Kansas City
2010,The quality of city video programming including city television channel (Channel 2) and web streaming,0.0,Kansas City
2010,The content in the City's magazine KCMore,0.0,Kansas City
2010,The City's Use of Social Media,0.0,Kansas City
2010,Watched Channel 2 in the last year,0.0,Kansas City
2010,Maintenance of city parks,52.0,Kansas City
2010,Quality of facilities such as picnic shelters and playgrounds in city parks,0.0,Kansas City
2010,"Quality of outdoor athletic fields (i.e. baseball, soccer, and football)",39.0,Kansas City
2010,Maintenance of boulevards and parkways,50.0,Kansas City
2010,Walking and biking trails in the city,36.0,Kansas City
2010,City swimming pools and programs,32.0,Kansas City
2010,The city's youth programs and actvities,33.0,Kansas City
2010,"Maintenance of Kansas City, Missouri, community centers",43.0,Kansas City
2010,"Programs and activities at Kansas City, Missouri, community centers",37.0,Kansas City
2010,Ease of registering for [Parks and Recreation] programs,36.0,Kansas City
2010,The reasonableness of fees charged for recreation programs,36.0,Kansas City
2010,Tree trimming and other tree case along city streets and other public areas,39.0,Kansas City
2010,Quality of communication from Parks and Rec,0.0,Kansas City
2010,Quality of customer service from Parks employees,0.0,Kansas City
2010,Overall quality of trash collection services,66.0,Kansas City
2010,Overall quality of recycling collection services,67.0,Kansas City
2010,Overall Quality of Recycling Drop Off Centers,0.0,Kansas City
2010,Overall quality of bulky item pick-up services,39.0,Kansas City
2010,Overal quality of leaf and brush pick-up services,39.0,Kansas City
2010,Overall Quality of Leaf and Brush Pick-up Services,0.0,Kansas City
2010,Overall cleanliness of city streets and other public areas,36.0,Kansas City
2010,City efforts to clean up illegal dumping sites,0.0,Kansas City
2010,Ease of moving through airport security,0.0,Kansas City
2010,Availability of parking [at airport],0.0,Kansas City
2010,Price of parking [at airport],0.0,Kansas City
2010,Helpfulness of signs and other directions,0.0,Kansas City
2010,"Food, beverage, and other concessions",0.0,Kansas City
2010,Cleanliness of facilities,0.0,Kansas City
2010,Condition of catch basins (storm drains) in your neighborhood,0.0,Kansas City
2010,Timeliness of water/sewer line break repairs,35.0,Kansas City
2010,Quality of Water Services customer service,0.0,Kansas City
2010,Overall quality of leadership provided by the city's elected officials,16.0,Kansas City
2010,Overall effectiveness of the city manager and appointed staff,17.0,Kansas City
2010,How ethically the city conducts business,17.0,Kansas City
2010,"Were you or anyone in your household the victim of any crime in Kansas City, Missouri, during the last year?",15.0,Kansas City
2010,Have You had Contact with a KCPD Police Officer,0.0,Kansas City
2010,"Have any members of your household used the Kansas City, Missouri, ambulance service in the last year?",0.0,Kansas City
2010,Have you or anyone in your household contacted 311 in the last year?,46.0,Kansas City
2010,Have you visited the city's website in the last year?,44.0,Kansas City
2010,Have you used the bulky item pick-up service in the last year?,46.0,Kansas City
2010,"Have you visited a Kansas City, Missouri, community center in the last year?",31.0,Kansas City
2010,"Have any members of your household visited any parks in Kansas City, Missouri, in the last year?",74.0,Kansas City
2010,Have you used public transportation in the last year?,25.0,Kansas City
2010,"Have any members of your household attended or watched any Kansas City, Missouri, public meeting in the last year?",38.0,Kansas City
2010,Do you have regular access to the internet at home or work?,0.0,Kansas City
2010,Do You Have Internet Access at Home,0.0,Kansas City
2010,Have you been to municipal court in the last year?,0.0,Kansas City
2010,Have you visited the Kansas City International Airport in the last year?,0.0,Kansas City
2010,Have you contacted Water Services regarding your account in the last year?,0.0,Kansas City
2010,"Did you vote in any Kansas City, Missouri, municipal election during the last two years?",82.0,Kansas City
2010,Own a cat or dog,0.0,Kansas City
2010,Weekly use of the city's curbside recycling services,0.0,Kansas City
2010,"Do you think you will be living in Kansas City, Missouri, five years from now?",82.0,Kansas City
2010,Own your current residence,83.0,Kansas City
2010,"Median number of years living in Kansas City, MO",35.0,Kansas City
2010,Preventing the spread of infectious diseases through STD/HIV treatment and prevention services and TB and hepatitis control,0.0,Kansas City
2010,Have you used the KCATA bus system in the last year?,0.0,Kansas City
2010,Have you used the Kansas City Streetcar in the last year?,0.0,Kansas City
2011,"How would you rate Kansas City, Missouri, as a place to live (Good/Excellent)",68.0,Kansas City
2011,"How would you rate Kansas City, Missouri, as a place to raise children (Good/Excellent)",50.0,Kansas City
2011,"How would you rate Kansas City, Missouri, as a place to work (Good/Excellent)",62.0,Kansas City
2011,"Overall quality of services provided by the City of Kansas City, Missouri",47.0,Kansas City
2011,Overall value that you receive for your city tax dollars and fees,31.0,Kansas City
2011,Overall image of the city,43.0,Kansas City
2011,Overall quality of life in the city,53.0,Kansas City
2011,Overall feeling of safety in the city,36.0,Kansas City
2011,How safe you feel in your neighborhood,0.0,Kansas City
2011,Overall quality of education system within the City,0.0,Kansas City
2011,Physical Appearance of Your Neighborhood,0.0,Kansas City
2011,Overall quality of police services,60.0,Kansas City
2011,Overall quality of fire and ambulance services,0.0,Kansas City
2011,"Overall maintenance of city streets, sidewalks, and infrastructure",0.0,Kansas City
2011,Overall quality of solid waste services (e.g. residential trash and recycling collection),0.0,Kansas City
2011,Overall quality of city water utilities,52.0,Kansas City
2011,"Overall quality of neighborhood services (e.g. code enforcement, property preservation, animal control)",0.0,Kansas City
2011,Overall quality of city parks and recreation programs and facilities,59.0,Kansas City
2011,Overall quality of Health Department services,0.0,Kansas City
2011,Overall quality of airport facilities,74.0,Kansas City
2011,Overall quality of the city's 311 service,54.0,Kansas City
2011,The city's municipal court,38.0,Kansas City
2011,Overall quality of customer service you receive from city employees,48.0,Kansas City
2011,Overall effectiveness of city communication with the public,36.0,Kansas City
2011,Overall quality of the city's stormwater runoff/stormwater management system,33.0,Kansas City
2011,Overall quality of public transportation,44.0,Kansas City
2011,Effectiveness of local police protection,0.0,Kansas City
2011,The visibility of police in neighborhoods,49.0,Kansas City
2011,The city's overall efforts to prevent crime,41.0,Kansas City
2011,Enforcement of local traffic laws,51.0,Kansas City
2011,Parking enforcement services,46.0,Kansas City
2011,How quickly police respond to emergencies,57.0,Kansas City
2011,Overall quality of local fire protection and rescue services,78.0,Kansas City
2011,How quickly fire and rescue personnel respond to emergencies,0.0,Kansas City
2011,Quality of local emergency medical service,73.0,Kansas City
2011,How quickly emergency medical personnel respond to emergencies,0.0,Kansas City
2011,Maintenance of city streets,23.0,Kansas City
2011,Maintenance of streets in your neighborhood,34.0,Kansas City
2011,Condition of sidewalks in the city,23.0,Kansas City
2011,Condition of sidewalks in your neighborhood,0.0,Kansas City
2011,Maintenance of street signs and traffic signals,52.0,Kansas City
2011,Snow removal on major city streets during the past 12 months,50.0,Kansas City
2011,Snow removal on residential streets during the past 12 months,31.0,Kansas City
2011,Adequacy of city street lighting,58.0,Kansas City
2011,"Accessibility of city streets, sidewalks, buildings for people with disabilities",0.0,Kansas City
2011,How would you rate On-street bicycle infrastructure (bike lanes/signs/sharrows),0.0,Kansas City
2011,Enforcing the clean up of litter and debris on private property,23.0,Kansas City
2011,Enforcing the mowing and cutting of weeds on private property,22.0,Kansas City
2011,Enforcing the exterior maintenance of residential property,24.0,Kansas City
2011,"Enforcing the clean-up of litter, mowing of weeds and exterior maintenance of residential property in YOUR neighborhood",0.0,Kansas City
2011,Boarding of Vacant Structures,0.0,Kansas City
2011,Demolition of Vacant Structures,0.0,Kansas City
2011,Enforcing the removal of signs in the right of way,0.0,Kansas City
2011,Timeliness of the removal of abandoned cars from public property,28.0,Kansas City
2011,Enforcing the property maintenance of vacant structures,0.0,Kansas City
2011,Quality of animal control,41.0,Kansas City
2011,Enforcement of Animal Code,0.0,Kansas City
2011,Customer Service Provided by Animal Control Officer,0.0,Kansas City
2011,Animal Shelter Operations,0.0,Kansas City
2011,"Protecting the public from new or unusual health threats such as anthrax, the H1N1 influenza (“flu”) virus, and any new outbreak.",0.0,Kansas City
2011,Guarding against food poisoning through restaurant inspections,0.0,Kansas City
2011,"Protecting the public from exposure to environmental risks such as air pollution, lead poisoning, and swimming pool contamination.",0.0,Kansas City
2011,"Encouraging access to healthy fruits and vegetables, safe places to exercise, and non-smoking environments",0.0,Kansas City
2011,Encouraging access to healthy fruits and vegetables and safe places to exercise,0.0,Kansas City
2011,"Communicating information regarding public health concerns such as excessive heat, second hand smoke, violence prevention, and maternal and child health",0.0,Kansas City
2011,"Preventing the spread of infectious diseases through childhood vaccination programs, STD/HIV treatment and prevention services, and tuberculosis (TB) and hepatitis control.",0.0,Kansas City
2011,"Providing Services for Families and Children such as Childhood Vaccinations, Lead Screening, and Healthy Home Inspections",0.0,Kansas City
2011,Ease of utilizing 311 services via phone,0.0,Kansas City
2011,Ease of utilizing 311 services via web,0.0,Kansas City
2011,Courtesy and professionalism of 311 calltakers,0.0,Kansas City
2011,How well your question or issue was resolved via 311,0.0,Kansas City
2011,The availability of information about city programs and services,37.0,Kansas City
2011,Overall usefulness of the city's website,0.0,Kansas City
2011,The level of public involvement in local decision making,24.0,Kansas City
2011,Opportunity to Engage/Provide input into Decisions Made by The City,0.0,Kansas City
2011,"The quality of Kansas City, Missouri's government cable television channel (Channel 2)",0.0,Kansas City
2011,The quality of city video programming including city television channel (Channel 2) and web streaming,0.0,Kansas City
2011,The content in the City's magazine KCMore,0.0,Kansas City
2011,The City's Use of Social Media,0.0,Kansas City
2011,Watched Channel 2 in the last year,49.0,Kansas City
2011,Maintenance of city parks,53.0,Kansas City
2011,Quality of facilities such as picnic shelters and playgrounds in city parks,50.0,Kansas City
2011,"Quality of outdoor athletic fields (i.e. baseball, soccer, and football)",49.0,Kansas City
2011,Maintenance of boulevards and parkways,52.0,Kansas City
2011,Walking and biking trails in the city,44.0,Kansas City
2011,City swimming pools and programs,35.0,Kansas City
2011,The city's youth programs and actvities,33.0,Kansas City
2011,"Maintenance of Kansas City, Missouri, community centers",44.0,Kansas City
2011,"Programs and activities at Kansas City, Missouri, community centers",42.0,Kansas City
2011,Ease of registering for [Parks and Recreation] programs,40.0,Kansas City
2011,The reasonableness of fees charged for recreation programs,39.0,Kansas City
2011,Tree trimming and other tree case along city streets and other public areas,36.0,Kansas City
2011,Quality of communication from Parks and Rec,0.0,Kansas City
2011,Quality of customer service from Parks employees,0.0,Kansas City
2011,Overall quality of trash collection services,69.0,Kansas City
2011,Overall quality of recycling collection services,69.0,Kansas City
2011,Overall Quality of Recycling Drop Off Centers,0.0,Kansas City
2011,Overall quality of bulky item pick-up services,49.0,Kansas City
2011,Overal quality of leaf and brush pick-up services,49.0,Kansas City
2011,Overall Quality of Leaf and Brush Pick-up Services,0.0,Kansas City
2011,Overall cleanliness of city streets and other public areas,38.0,Kansas City
2011,City efforts to clean up illegal dumping sites,0.0,Kansas City
2011,Ease of moving through airport security,0.0,Kansas City
2011,Availability of parking [at airport],0.0,Kansas City
2011,Price of parking [at airport],0.0,Kansas City
2011,Helpfulness of signs and other directions,0.0,Kansas City
2011,"Food, beverage, and other concessions",0.0,Kansas City
2011,Cleanliness of facilities,0.0,Kansas City
2011,Condition of catch basins (storm drains) in your neighborhood,40.0,Kansas City
2011,Timeliness of water/sewer line break repairs,33.0,Kansas City
2011,Quality of Water Services customer service,0.0,Kansas City
2011,Overall quality of leadership provided by the city's elected officials,20.0,Kansas City
2011,Overall effectiveness of the city manager and appointed staff,24.0,Kansas City
2011,How ethically the city conducts business,23.0,Kansas City
2011,"Were you or anyone in your household the victim of any crime in Kansas City, Missouri, during the last year?",14.0,Kansas City
2011,Have You had Contact with a KCPD Police Officer,0.0,Kansas City
2011,"Have any members of your household used the Kansas City, Missouri, ambulance service in the last year?",0.0,Kansas City
2011,Have you or anyone in your household contacted 311 in the last year?,49.0,Kansas City
2011,Have you visited the city's website in the last year?,46.0,Kansas City
2011,Have you used the bulky item pick-up service in the last year?,43.0,Kansas City
2011,"Have you visited a Kansas City, Missouri, community center in the last year?",33.0,Kansas City
2011,"Have any members of your household visited any parks in Kansas City, Missouri, in the last year?",70.0,Kansas City
2011,Have you used public transportation in the last year?,26.0,Kansas City
2011,"Have any members of your household attended or watched any Kansas City, Missouri, public meeting in the last year?",38.0,Kansas City
2011,Do you have regular access to the internet at home or work?,0.0,Kansas City
2011,Do You Have Internet Access at Home,0.0,Kansas City
2011,Have you been to municipal court in the last year?,0.0,Kansas City
2011,Have you visited the Kansas City International Airport in the last year?,0.0,Kansas City
2011,Have you contacted Water Services regarding your account in the last year?,0.0,Kansas City
2011,"Did you vote in any Kansas City, Missouri, municipal election during the last two years?",0.0,Kansas City
2011,Own a cat or dog,0.0,Kansas City
2011,Weekly use of the city's curbside recycling services,0.0,Kansas City
2011,"Do you think you will be living in Kansas City, Missouri, five years from now?",83.0,Kansas City
2011,Own your current residence,83.0,Kansas City
2011,"Median number of years living in Kansas City, MO",34.0,Kansas City
2011,Preventing the spread of infectious diseases through STD/HIV treatment and prevention services and TB and hepatitis control,0.0,Kansas City
2011,Have you used the KCATA bus system in the last year?,0.0,Kansas City
2011,Have you used the Kansas City Streetcar in the last year?,0.0,Kansas City
2012,"How would you rate Kansas City, Missouri, as a place to live (Good/Excellent)",70.0,Kansas City
2012,"How would you rate Kansas City, Missouri, as a place to raise children (Good/Excellent)",50.0,Kansas City
2012,"How would you rate Kansas City, Missouri, as a place to work (Good/Excellent)",62.0,Kansas City
2012,"Overall quality of services provided by the City of Kansas City, Missouri",50.0,Kansas City
2012,Overall value that you receive for your city tax dollars and fees,32.0,Kansas City
2012,Overall image of the city,45.0,Kansas City
2012,Overall quality of life in the city,54.0,Kansas City
2012,Overall feeling of safety in the city,37.0,Kansas City
2012,How safe you feel in your neighborhood,0.0,Kansas City
2012,Overall quality of education system within the City,0.0,Kansas City
2012,Physical Appearance of Your Neighborhood,0.0,Kansas City
2012,Overall quality of police services,59.0,Kansas City
2012,Overall quality of fire and ambulance services,0.0,Kansas City
2012,"Overall maintenance of city streets, sidewalks, and infrastructure",0.0,Kansas City
2012,Overall quality of solid waste services (e.g. residential trash and recycling collection),0.0,Kansas City
2012,Overall quality of city water utilities,52.0,Kansas City
2012,"Overall quality of neighborhood services (e.g. code enforcement, property preservation, animal control)",0.0,Kansas City
2012,Overall quality of city parks and recreation programs and facilities,59.0,Kansas City
2012,Overall quality of Health Department services,0.0,Kansas City
2012,Overall quality of airport facilities,74.0,Kansas City
2012,Overall quality of the city's 311 service,57.0,Kansas City
2012,The city's municipal court,37.0,Kansas City
2012,Overall quality of customer service you receive from city employees,50.0,Kansas City
2012,Overall effectiveness of city communication with the public,39.0,Kansas City
2012,Overall quality of the city's stormwater runoff/stormwater management system,36.0,Kansas City
2012,Overall quality of public transportation,43.0,Kansas City
2012,Effectiveness of local police protection,0.0,Kansas City
2012,The visibility of police in neighborhoods,49.0,Kansas City
2012,The city's overall efforts to prevent crime,41.0,Kansas City
2012,Enforcement of local traffic laws,52.0,Kansas City
2012,Parking enforcement services,48.0,Kansas City
2012,How quickly police respond to emergencies,58.0,Kansas City
2012,Overall quality of local fire protection and rescue services,79.0,Kansas City
2012,How quickly fire and rescue personnel respond to emergencies,79.0,Kansas City
2012,Quality of local emergency medical service,70.0,Kansas City
2012,How quickly emergency medical personnel respond to emergencies,69.0,Kansas City
2012,Maintenance of city streets,24.0,Kansas City
2012,Maintenance of streets in your neighborhood,36.0,Kansas City
2012,Condition of sidewalks in the city,23.0,Kansas City
2012,Condition of sidewalks in your neighborhood,0.0,Kansas City
